"subject","food_received","treatment","keydonor","kin","opportunities","age","kin_fed","nonkin_fed","nonkin_fem_fed","fem_fed","nonkin_fed_oppo","nonkin_fed_res","before_round"
"bella",433.5,"1. before removal","dot","yes",169,9.9,10,7,4,8,0.023668639,-1.550493426,"yes"
"bella",-138.8333333,"3. difference","dot","yes",169,9.9,10,7,4,8,0.023668639,-1.550493426,"yes"
"bella",294.6666667,"2. after removal","dot","yes",169,9.9,10,7,4,8,0.023668639,-1.550493426,"yes"
"cerce",235.5,"1. before removal","marce","yes",155,13.6,8,7,5,10,0.032258065,0.101744663,"yes"
"cerce",-124,"3. difference","marce","yes",155,13.6,8,7,5,10,0.032258065,0.101744663,"yes"
"cerce",111.5,"2. after removal","marce","yes",155,13.6,8,7,5,10,0.032258065,0.101744663,"yes"
"countess",748,"1. before removal","snow","yes",155,17.2,6,10,7,11,0.04516129,2.101744663,"yes"
"countess",-169,"3. difference","snow","yes",155,17.2,6,10,7,11,0.04516129,2.101744663,"yes"
"countess",579,"2. after removal","snow","yes",155,17.2,6,10,7,11,0.04516129,2.101744663,"yes"
"dot",663.5,"1. before removal","bella","yes",118,3,7,4,4,8,0.033898305,0.825516754,"yes"
"dot",-314.6666667,"3. difference","bella","yes",118,3,7,4,4,8,0.033898305,0.825516754,"yes"
"dot",348.8333333,"2. after removal","bella","yes",118,3,7,4,4,8,0.033898305,0.825516754,"yes"
"four",152,"1. before removal","three","no",98,7.5,2,1,1,3,0.010204082,-1.242714548,"no"
"four",125.6666667,"3. difference","three","no",98,7.5,2,1,1,3,0.010204082,-1.242714548,"no"
"four",277.6666667,"2. after removal","three","no",98,7.5,2,1,1,3,0.010204082,-1.242714548,"no"
"lucy",866.5,"1. before removal","zaria","yes",166,8.2,9,6,2,9,0.012048193,-3.410728121,"yes"
"lucy",-704.1666667,"3. difference","zaria","yes",166,8.2,9,6,2,9,0.012048193,-3.410728121,"yes"
"lucy",162.3333333,"2. after removal","zaria","yes",166,8.2,9,6,2,9,0.012048193,-3.410728121,"yes"
"marce",290.5,"1. before removal","cerce","yes",100,1.5,3,3,3,6,0.03,0.664108582,"yes"
"marce",-80.83333333,"3. difference","cerce","yes",100,1.5,3,3,3,6,0.03,0.664108582,"yes"
"marce",209.6666667,"2. after removal","cerce","yes",100,1.5,3,3,3,6,0.03,0.664108582,"yes"
"mina",495,"1. before removal","vampirella","no",169,9.3,1,12,8,9,0.047337278,2.449506574,"no"
"mina",78.33333333,"3. difference","vampirella","no",169,9.3,1,12,8,9,0.047337278,2.449506574,"no"
"mina",573.3333333,"2. after removal","vampirella","no",169,9.3,1,12,8,9,0.047337278,2.449506574,"no"
"mya",423.5,"1. before removal","veronica","no",171,18.8,1,14,9,10,0.052631579,3.356329705,"yes"
"mya",-56.5,"3. difference","veronica","no",171,18.8,1,14,9,10,0.052631579,3.356329705,"yes"
"mya",367,"2. after removal","veronica","no",171,18.8,1,14,9,10,0.052631579,3.356329705,"yes"
"snow",131,"1. before removal","countess","yes",98,1.4,1,5,5,6,0.051020408,2.757285452,"yes"
"snow",305.6666667,"3. difference","countess","yes",98,1.4,1,5,5,6,0.051020408,2.757285452,"yes"
"snow",436.6666667,"2. after removal","countess","yes",98,1.4,1,5,5,6,0.051020408,2.757285452,"yes"
"three",518,"1. before removal","four","no",100,12.4,1,0,0,1,0,-2.335891418,"no"
"three",-386.6666667,"3. difference","four","no",100,12.4,1,0,0,1,0,-2.335891418,"no"
"three",131.3333333,"2. after removal","four","no",100,12.4,1,0,0,1,0,-2.335891418,"no"
"vampirella",958.5,"1. before removal","mina","no",155,6.5,7,3,2,6,0.012903226,-2.898255337,"yes"
"vampirella",-849.8333333,"3. difference","mina","no",155,6.5,7,3,2,6,0.012903226,-2.898255337,"yes"
"vampirella",108.6666667,"2. after removal","mina","no",155,6.5,7,3,2,6,0.012903226,-2.898255337,"yes"
"veronica",908,"1. before removal","mya","no",171,8.2,4,8,5,8,0.029239766,-0.643670295,"yes"
"veronica",-716.3333333,"3. difference","mya","no",171,8.2,4,8,5,8,0.029239766,-0.643670295,"yes"
"veronica",191.6666667,"2. after removal","mya","no",171,8.2,4,8,5,8,0.029239766,-0.643670295,"yes"
"zaria",604.5,"1. before removal","lucy","yes",118,2.4,2,3,3,4,0.025423729,-0.174483246,"yes"
"zaria",-501.5,"3. difference","lucy","yes",118,2.4,2,3,3,4,0.025423729,-0.174483246,"yes"
"zaria",103,"2. after removal","lucy","yes",118,2.4,2,3,3,4,0.025423729,-0.174483246,"yes"
